Time,A160,A180,A220,A240,L130,L150,L250,L270
2023-08-15 05:30:00,29.066789627075195,29.53717041015625,29.37547492980957,28.886322021484375,-53.05323791503906,-13.506460189819336,-39.8951530456543,-10.6414794921875
2023-08-15 06:30:00,28.15829849243164,28.7199649810791,28.56275177001953,27.98345947265625,-46.552181243896484,-11.851048469543457,-40.2476806640625,-15.131473541259766
2023-08-15 07:30:00,33.82286071777344,34.49753189086914,34.308658599853516,33.61286163330078,-72.1772689819336,-18.20604705810547,-38.6571159362793,-7.0308685302734375
2023-08-15 08:30:00,36.425376892089844,37.151947021484375,36.94853973388672,36.199222564697266,-80.64861297607422,-20.533679962158203,-38.47718048095703,-7.065677642822266
2023-08-15 09:30:00,40.8355712890625,41.65009689331055,41.422080993652344,40.58199691772461,-71.63166809082031,-18.236923217773438,-68.44258117675781,-6.178617477416992
2023-08-15 10:30:00,49.08010482788086,50.0590934753418,49.785064697265625,48.775367736816406,-46.15711975097656,-104.84352111816406,-63.758636474609375,17.37518310546875
2023-08-15 11:30:00,51.841346740722656,52.87541580200195,52.58597183227539,51.519466400146484,-22.7297306060791,-168.43804931640625,-58.38856506347656,41.29915237426758
2023-08-15 12:30:00,51.833187103271484,52.867095947265625,52.577674865722656,51.511348724365234,-23.126506805419922,-167.1253204345703,-58.994197845458984,40.44956970214844
2023-08-15 13:30:00,49.88228988647461,50.87727355957031,50.59876251220703,49.57257080078125,-18.140077590942383,-165.29129028320312,-58.56998062133789,41.504669189453125
2023-08-15 14:30:00,47.72480773925781,48.67677688598633,48.41029739379883,47.42848587036133,-13.546228408813477,-164.78123474121094,-58.01110076904297,44.09818649291992
2023-08-15 15:30:00,45.426048278808594,46.33212661743164,46.07849884033203,45.14396667480469,-9.10334587097168,-162.87591552734375,-57.81526565551758,46.907379150390625
2023-08-15 16:30:00,46.960060119628906,47.896759033203125,47.63456344604492,46.668479919433594,-11.30208969116211,-162.9884033203125,-59.05070495605469,44.21772766113281
2023-08-15 17:30:00,39.99254608154297,40.79027557373047,40.56698226928711,39.744239807128906,-48.28510284423828,-56.65958023071289,-66.31253051757812,9.997415542602539
2023-08-15 18:30:00,47.00050735473633,47.93801498413086,47.67559051513672,46.70867156982422,-29.405879974365234,-130.34024047851562,-60.505794525146484,30.7370662689209
2023-08-15 19:30:00,42.68191146850586,43.53327941894531,43.29496765136719,42.416893005371094,-50.37236022949219,-70.47441101074219,-64.71688842773438,13.644552230834961
2023-08-15 20:30:00,43.89079666137695,44.76628875732422,44.521217346191406,43.817508697509766,-49.265052795410156,-77.60531616210938,-64.75152587890625,14.335775375366211
2023-08-15 21:30:00,40.828521728515625,41.642921447753906,41.414947509765625,40.575008392333984,-37.970638275146484,-122.45738220214844,-32.04145431518555,27.912092208862305
2023-08-15 22:30:00,32.95551681518555,33.61286163330078,33.428863525390625,32.750892639160156,-70.00565338134766,-17.826128005981445,-39.30988311767578,-6.429719924926758
2023-08-15 23:30:00,30.702194213867188,31.314607620239258,31.143184661865234,30.511566162109375,-64.72515869140625,-16.478656768798828,-38.90967559814453,-3.801107406616211
